,Row Labels,Count of Category,,,,,,,,,,,,,,,,
,Beauty & Grooming,1313,,,,,,,,,,,,,,,,
,Soghaat,1066,,,,,,,,,,,,,,,,
,Men's Fashion,576,,,,,,,,,,,,,,,,
,\N,418,,,,,,,,,,,,,,,,
,Mobiles & Tablets,398,,,,,,,,,,,,,,,,
,Women's Fashion,261,,,,,,,,,,,,,,,,
,Appliances,230,,,,,,,,,,,,,,,,
,Home & Living,225,,,,,,,,,,,,,,,,
,Computing,151,,,,,,,,,,,,,,,,
,Health & Sports,120,,,,,,,,,,,,,,,,
,Kids & Baby,98,,,,,,,,,,,,,,,,
,School & Education,70,,,,,,,,,,,,,,,,
,Entertainment,32,,,,,,,,,,,,,,,,
,Others,20,,,,,,,,,,,,,,,,
,Books,11,,,,,,,,,,,,,,,,
,Superstore,11,,,,,,,,,,,,,,,,
,Grand Total,5000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Row Labels,Count of payment_method,,,,,,,,,,,,,,,,
,cod,4061,,,,,,,,,,,,,,,,
,mcblite,212,,,,,,,,,,,,,,,,
,mygateway,211,,,,,,,,,,,,,,,,
,ublcreditcard,194,,,,,,,,,,,,,,,,
,cashatdoorstep,145,,,,,,,,,,,,,,,,
,customercredit,70,,,,,,,,,,,,,,,,
,internetbanking,60,,,,,,,,,,,,,,,,
,productcredit,46,,,,,,,,,,,,,,,,
,marketingexpense,1,,,,,,,,,,,,,,,,
,Grand Total,5000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Hypothesis,,,,,,,,,#DIV/0!,,,,,,,,
Ho,Cod is the most used payment method by the most sold category beauty and groumming,,,,,,,,,,,,,,,,,
H1,Cod is Not the most used payment method by the most sold category beauty and groumming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Finding H1,Cod is the most used payment method by the most sold category beauty and groumming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Count of Category,Column Labels,,,,,,,,,,,,,,,,
,Row Labels,Beauty & Grooming,Soghaat,Men's Fashion,\N,Mobiles & Tablets,Women's Fashion,Appliances,Home & Living,Computing,Health & Sports,Kids & Baby,School & Education,Entertainment,Others,Books,Superstore,Grand Total
,cod,1252,823,444,136,300,231,196,217,139,117,89,57,21,14,10,10,4056
,ublcreditcard,19,49,28,22,44,5,12,1,2,1,2,,9,,,,194
,cashatdoorstep,18,67,12,44,1,1,,,,,2,,,,,,145
,customercredit,9,14,22,6,2,2,5,,3,1,1,,,3,,,68
,mygateway,6,85,35,12,36,17,2,1,3,1,1,1,1,3,,,204
,mcblite,4,12,7,178,3,1,6,1,,,,,,,,,212
,internetbanking,4,9,21,5,11,2,3,1,,,1,1,1,,,1,60
,productcredit,1,3,6,14,1,2,6,2,4,,2,4,,,1,,46
,marketingexpense,,,,1,,,,,,,,,,,,,1
,Grand Total,1313,1062,575,418,398,261,230,223,151,120,98,63,32,20,11,11,4986
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Hypothesis,,,,,,,,,,,,,,,,,
Ho,Men's  Fashion Generates the most Revenue,,,,,,,,,,,,,,,,,
H1,Men's  Fashion does not Generates the most Revenue,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Row Labels,Sum of Grand_total,,,,,,,,,,,,,,,,
,Mobiles & Tablets,"₦8,845,311",,,,,,,,,,,,,,,,
,Appliances,"₦3,666,029",,,,,,,,,,,,,,,,
,Men's Fashion,"₦2,003,928",,,Mens fashion does not generate the most revenue,,,,,,,,,,,,,
,Soghaat,"₦1,463,661",,,,,,,,,,,,,,,,
,Women's Fashion,"₦1,013,241",,,,,,,,,,,,,,,,
,Beauty & Grooming,"₦912,644",,,,,,,,,,,,,,,,
,Entertainment,"₦893,489",,,,,,,,,,,,,,,,
,Computing,"₦572,530",,,,,,,,,,,,,,,,
,\N,"₦534,350",,,,,,,,,,,,,,,,
,Home & Living,"₦481,350",,,,,,,,,,,,,,,,
,School & Education,"₦334,351",,,,,,,,,,,,,,,,
,Health & Sports,"₦260,923",,,,,,,,,,,,,,,,
,Kids & Baby,"₦207,590",,,,,,,,,,,,,,,,
,Others,"₦34,465",,,,,,,,,,,,,,,,
,Books,"₦12,717",,,,,,,,,,,,,,,,
,Superstore,"₦12,667",,,,,,,,,,,,,,,,
,(blank),,,,,,,,,,,,,,,,,
,Grand Total,21249246.05,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Hypothesis,,,,,,,,,,,,,,,,,
Ho,Superstore Categories are the most cancelled,,,,,,,,,,,,,,,,,
H1,Superstore Categories are Not the most cancelled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Count of Category,Column Labels,,,,,,,,,,,,,,,,
,Row Labels,canceled,closed,complete,order_refunded,received,refund,(blank),Grand Total,,,,,,,,,
,Beauty & Grooming,73,6,1047,139,14,34,,1313,,,,,,,,,
,Soghaat,245,1,712,81,2,25,,1066,,,,,,,,,
,Men's Fashion,162,1,260,126,4,23,,576,,,,,,,,,
,\N,108,,250,50,1,9,,418,,,,,,,,,
,Mobiles & Tablets,153,,143,96,,6,,398,,,,,,,,,
,Women's Fashion,82,1,126,44,3,5,,261,,,,,,,,,
,Appliances,69,3,126,26,,6,,230,,,,,,,,,
,Home & Living,29,1,151,38,,6,,225,,,,,,,,,
,Computing,35,,89,23,1,3,,151,,,,,,,,,
,Health & Sports,17,1,85,16,,1,,120,,,,,,,,,
,Kids & Baby,19,,59,15,,5,,98,,,,,,,,,
,School & Education,15,,52,3,,,,70,,,,,,,,,
,Entertainment,16,,7,9,,,,32,,,,,,,,,
,Others,3,,14,3,,,,20,,,,,,,,,
,Books,3,,6,2,,,,11,,,,,,,,,
,Superstore,1,1,6,3,,,,11,,,,,,,,,
