item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
211131,complete,07/01/2016,kreations_YI 06-L,1950.0,1,1950.0,100147443,Women's Fashion,\N,0.0,cod,07/01/2016,#REF!,"1,950",2016,7,2016-7,Jul-16,FY17,1.0
211133,canceled,07/01/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240.0,1,240.0,100147444,Beauty & Grooming,\N,0.0,cod,07/01/2016,Gross,240,2016,7,2016-7,Jul-16,FY17,2.0
211134,canceled,07/01/2016,Ego_UP0017-999-MR0,2450.0,1,2450.0,100147445,Women's Fashion,\N,0.0,cod,07/01/2016,Gross,"2,450",2016,7,2016-7,Jul-16,FY17,3.0
211135,complete,07/01/2016,kcc_krone deal,360.0,1,60.0,100147446,Beauty & Grooming,R-FSD-52352,300.0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,4.0
211136,order_refunded,07/01/2016,BK7010400AG,555.0,2,1110.0,100147447,Soghaat,\N,0.0,cod,07/01/2016,Valid,"1,110",2016,7,2016-7,Jul-16,FY17,5.0
211137,canceled,07/01/2016,UK_Namkino All In One 200 Gms,80.0,1,80.0,100147448,Soghaat,\N,0.0,cod,07/01/2016,Gross,80,2016,7,2016-7,Jul-16,FY17,6.0
211138,complete,07/01/2016,kcc_krone deal,360.0,1,60.0,100147449,Beauty & Grooming,\N,300.0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,7.0
211139,complete,07/01/2016,UK_Namkino Mix Nimco 400 Gms,170.0,1,170.0,100147450,Soghaat,\N,0.0,cod,07/01/2016,Net,170,2016,7,2016-7,Jul-16,FY17,6.0
211140,canceled,07/01/2016,Apple iPhone 6S 64GB,96499.0,1,96499.0,100147451,Mobiles & Tablets,\N,0.0,ublcreditcard,07/01/2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,8.0
211141,canceled,07/01/2016,Apple iPhone 6S 64GB,96499.0,1,96499.0,100147452,Mobiles & Tablets,\N,0.0,mygateway,07/01/2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,8.0
211142,complete,07/01/2016,"GFC_Pedestal Myga Cross Base (Special Guard) 24""",5500.0,1,5500.0,100147453,Appliances,\N,0.0,cod,07/01/2016,Net,"5,500",2016,7,2016-7,Jul-16,FY17,9.0
211143,received,07/01/2016,BK1070200PL,210.0,1,366.0,100147454,Soghaat,\N,0.0,cod,07/01/2016,Valid,210,2016,7,2016-7,Jul-16,FY17,10.0
211144,received,07/01/2016,BK1130200CF,156.0,1,366.0,100147454,Soghaat,\N,0.0,cod,07/01/2016,Valid,156,2016,7,2016-7,Jul-16,FY17,10.0
211145,complete,07/01/2016,kcc_Sultanat,120.0,1,120.0,100147455,Home & Living,105259,0.0,ublcreditcard,07/01/2016,Net,120,2016,7,2016-7,Jul-16,FY17,11.0
211146,complete,07/01/2016,kcc_glamour deal,320.0,1,0.0,100147456,Beauty & Grooming,\N,0.0,customercredit,07/01/2016,Net,320,2016,7,2016-7,Jul-16,FY17,12.0
211147,canceled,07/01/2016,Assetmen_MD-346-M,1550.0,1,1550.0,100147457,Men's Fashion,105259,0.0,ublcreditcard,07/01/2016,Gross,"1,550",2016,7,2016-7,Jul-16,FY17,11.0
211149,complete,07/01/2016,cr_DATES WITH CASHEW-400 GM,420.0,1,1270.0,100147458,Soghaat,R-KHW-104406,0.0,cod,07/01/2016,Net,420,2016,7,2016-7,Jul-16,FY17,13.0
211150,complete,07/01/2016,UK_Gift Box Mix Dry Fruit Sweets 500 Gms,360.0,1,1270.0,100147458,Soghaat,R-KHW-104406,0.0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,13.0
211151,complete,07/01/2016,itter_AB 1199,490.0,1,1270.0,100147458,Beauty & Grooming,R-KHW-104406,0.0,cod,07/01/2016,Net,490,2016,7,2016-7,Jul-16,FY17,13.0
211152,canceled,07/01/2016,RL_B005,899.25,1,2118.25,100147459,Home & Living,\N,0.0,cod,07/01/2016,Gross,899,2016,7,2016-7,Jul-16,FY17,14.0
211153,canceled,07/01/2016,bed&rest_S7,899.0,1,2118.25,100147459,Home & Living,\N,0.0,cod,07/01/2016,Gross,899,2016,7,2016-7,Jul-16,FY17,14.0
211154,canceled,07/01/2016,L&L_LLHLE8224S,320.0,1,2118.25,100147459,Home & Living,\N,0.0,cod,07/01/2016,Gross,320,2016,7,2016-7,Jul-16,FY17,14.0
211155,complete,07/01/2016,J&J_JJR-4,149.0,1,298.0,100147460,Kids & Baby,\N,0.0,cod,07/01/2016,Net,149,2016,7,2016-7,Jul-16,FY17,15.0
211156,complete,07/01/2016,J&J_JJR-20,149.0,1,298.0,100147460,Kids & Baby,\N,0.0,cod,07/01/2016,Net,149,2016,7,2016-7,Jul-16,FY17,15.0
211157,order_refunded,07/01/2016,D Lend a Helping Hand,1000.0,1,0.0,100147461,\N,\N,0.0,customercredit,07/01/2016,Valid,"1,000",2016,7,2016-7,Jul-16,FY17,16.0
211158,order_refunded,07/01/2016,Mochika_M0001112-12,1913.0,1,3826.0,100147462,Men's Fashion,\N,0.0,cod,07/01/2016,Valid,"1,913",2016,7,2016-7,Jul-16,FY17,17.0
211160,order_refunded,07/01/2016,Mochika_M0001112-8,1913.0,1,3826.0,100147462,Men's Fashion,\N,0.0,cod,07/01/2016,Valid,"1,913",2016,7,2016-7,Jul-16,FY17,17.0
211162,complete,07/01/2016,SKMT_Blood Test,500.0,1,0.0,100147463,Others,\N,0.0,customercredit,07/01/2016,Net,500,2016,7,2016-7,Jul-16,FY17,16.0
211163,complete,07/01/2016,SKMT_Medicine,100.0,5,0.0,100147463,Others,\N,0.0,customercredit,07/01/2016,Net,500,2016,7,2016-7,Jul-16,FY17,16.0
211164,canceled,07/01/2016,sputnik_701/5-11,1500.0,2,3000.0,100147464,Men's Fashion,\N,0.0,cod,07/01/2016,Gross,"3,000",2016,7,2016-7,Jul-16,FY17,18.0
211166,complete,07/01/2016,Ctees-Black Zip- Up Hoodie-XL,450.0,1,450.0,100147465,Kids & Baby,\N,0.0,cod,07/01/2016,Net,450,2016,7,2016-7,Jul-16,FY17,19.0
211168,complete,07/01/2016,Samsung Galaxy J5,20999.0,1,20999.0,100147466,Mobiles & Tablets,R-FSD-58130,0.0,cod,07/01/2016,Net,"20,999",2016,7,2016-7,Jul-16,FY17,20.0
211169,complete,07/01/2016,kcc_krone deal,360.0,1,360.0,100147467,Beauty & Grooming,R-FSD-58130,0.0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,20.0
211170,refund,07/01/2016,Veet_4,165.0,1,300.0,100147468,Beauty & Grooming,\N,82.5,cod,07/01/2016,Valid,165,2016,7,2016-7,Jul-16,FY17,21.0
211171,refund,07/01/2016,RS_Gulab jaman Tin,435.0,1,300.0,100147468,Soghaat,\N,217.5,cod,07/01/2016,Valid,435,2016,7,2016-7,Jul-16,FY17,21.0
